ticker,date
AMT,2019-02-27
AMT,2019-05-03
AMT,2022-04-27
AMT,2021-04-29
AMT,2020-02-25
AMT,2020-07-30
AMT,2022-02-24
AMT,2020-10-29
AMT,2023-10-26
AMT,2018-07-31
AMT,2019-10-31
AMT,2018-05-01
AMT,2021-07-29
AMT,2020-04-29
AMT,2023-02-23
AMT,2021-02-25
AMT,2018-02-27
AMT,2022-07-28
AMT,2022-10-27
AMT,2021-10-28
AMT,2023-07-27
AMT,2019-07-31
AMT,2018-10-30
OKE,2023-11-01
OKE,2023-05-03
OKE,2021-04-28
OKE,2020-02-25
OKE,2022-08-09
OKE,2019-02-26
OKE,2019-10-30
OKE,2022-11-02
OKE,2020-10-28
OKE,2021-11-03
OKE,2020-04-29
OKE,2018-08-01
OKE,2023-08-08
OKE,2018-10-31
OKE,2022-05-04
OKE,2021-02-23
OKE,2022-03-01
OKE,2019-05-01
OKE,2020-07-29
OKE,2023-02-28
OKE,2021-08-04
OKE,2019-07-31
DG,2023-12-07
DG,2018-03-15
DG,2022-05-26
DG,2020-03-12
DG,2021-08-26
DG,2022-08-25
DG,2018-12-04
DG,2023-08-31
DG,2023-03-16
DG,2020-12-03
DG,2020-05-28
DG,2019-03-14
DG,2023-06-01
DG,2019-08-29
DG,2019-05-30
DG,2020-08-27
DG,2021-03-18
DG,2021-05-27
DG,2022-03-17
DG,2019-12-05
DG,2018-08-30
DG,2021-12-02
DG,2022-12-01
TTWO,2022-08-08
TTWO,2020-05-20
TTWO,2019-02-06
TTWO,2023-02-06
TTWO,2020-08-03
TTWO,2018-05-16
TTWO,2019-11-07
TTWO,2019-05-13
TTWO,2018-08-02
TTWO,2022-05-16
TTWO,2021-05-18
TTWO,2020-11-05
TTWO,2021-11-03
TTWO,2019-08-05
TTWO,2021-02-08
TTWO,2021-08-02
TTWO,2022-02-07
TTWO,2023-08-08
TTWO,2023-11-08
TTWO,2023-05-17
TTWO,2020-02-06
TTWO,2018-11-07
TTWO,2022-11-07
LOW,2020-11-18
LOW,2019-02-27
