ticker,date,sentiment_score,uncertainty_score,sentiment_score_qa,uncertainty_score_qa,sector
CTAS,2020-09-23,0.10268,0.003653,0.254599,0.010467,Industrials
CTAS,2021-03-17,0.098815,0.004764,0.193426,0.012924,Industrials
CTAS,2021-07-15,0.291419,0.003672,0.235106,0.007227,Industrials
CTAS,2018-03-22,0.247897,0.00789,0.25296,0.013002,Industrials
CTAS,2019-12-17,0.295937,0.005896,0.231796,0.009121,Industrials
CTAS,2020-03-19,0.318681,0.005284,-0.048104,0.010377,Industrials
CTAS,2020-12-22,0.134942,0.006024,0.144521,0.010939,Industrials
CTAS,2019-03-21,0.051226,0.004843,0.090037,0.008448,Industrials
CTAS,2019-07-16,0.23034,0.007317,0.259861,0.00676,Industrials
CTAS,2020-07-23,-0.002372,0.00558,0.152869,0.009673,Industrials
CTAS,2018-07-19,0.400085,0.006817,0.212237,0.00766,Industrials
CTAS,2021-09-29,0.309492,0.006983,0.241191,0.008944,Industrials
CTAS,2021-12-22,0.371579,0.005686,0.354965,0.00891,Industrials
WELL,2020-02-13,0.352806,0.006259,0.107176,0.008716,Real Estate
WELL,2021-04-29,0.366327,0.009048,0.05713,0.008365,Real Estate
WELL,2022-05-11,0.2944,0.006583,0.120472,0.007963,Real Estate
WELL,2020-10-29,-0.018081,0.006045,-0.005126,0.007321,Real Estate
WELL,2020-05-07,0.029359,0.011165,-0.009703,0.012962,Real Estate
WELL,2021-02-10,0.110776,0.00605,0.050388,0.007261,Real Estate
WELL,2019-04-30,0.428305,0.010417,0.090528,0.006024,Real Estate
WELL,2021-07-30,0.432774,0.009965,0.061675,0.008445,Real Estate
WELL,2020-08-06,0.000776,0.007045,-0.006581,0.009312,Real Estate
WELL,2019-10-29,0.39916,0.008618,0.140399,0.005625,Real Estate
WELL,2022-02-16,0.367089,0.005278,0.032108,0.007885,Real Estate
WELL,2022-08-10,0.286487,0.007929,0.017215,0.004509,Real Estate
WELL,2021-11-05,0.301,0.005832,0.053669,0.007136,Real Estate
WELL,2019-02-12,0.505533,0.00803,0.155944,0.007151,Real Estate
WELL,2018-10-30,0.530078,0.007603,0.064102,0.008701,Real Estate
VZ,2019-08-01,0.095121,0.003364,0.309706,0.006163,Communication Services
VZ,2021-01-26,0.325414,0.005054,0.28194,0.00712,Communication Services
VZ,2019-04-23,0.282971,0.003754,0.224669,0.005846,Communication Services
VZ,2021-10-20,0.543719,0.004146,0.245551,0.004977,Communication Services
VZ,2018-10-23,0.242245,0.003405,0.280174,0.006956,Communication Services
VZ,2019-01-29,0.339522,0.004295,0.312596,0.005443,Communication Services
VZ,2020-01-30,0.189021,0.003643,0.16762,0.005479,Communication Services
VZ,2020-04-24,0.108296,0.005604,0.14034,0.006816,Communication Services
VZ,2021-04-21,0.483522,0.005577,0.28937,0.004958,Communication Services
VZ,2018-07-24,0.350567,0.002952,0.223454,0.003659,Communication Services
VZ,2019-10-25,0.189261,0.002609,0.240541,0.005689,Communication Services
VZ,2020-10-21,0.339593,0.004587,0.240645,0.004881,Communication Services
VZ,2021-07-21,0.526814,0.007014,0.225224,0.004657,Communication Services
VZ,2020-07-24,0.188459,0.006284,0.20523,0.005005,Communication Services
VZ,2018-04-24,0.275356,0.004318,0.280239,0.004814,Communication Services
CTMX,2022-08-04,0.415894,0.012575,0.217169,0.013171,Healthcare
CTMX,2021-08-06,0.363376,0.00786,0.174437,0.004396,Healthcare
CTMX,2019-11-07,0.288441,0.005967,0.173932,0.010084,Healthcare
CTMX,2019-05-09,0.449889,0.007712,0.123718,0.008244,Healthcare
